author,authorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q5673,Χανς Κρίστιαν Άντερσεν,"ποίηση, πεζός λόγος, παραμύθι, παιδική λογοτεχνία",Οντένσε,1805-04-02T00:00:00Z,1875-08-04T00:00:00Z,Δανός λογοτέχνης και συγγραφέας παραμυθιών
http://www.wikidata.org/entity/Q7197,Σιμόν ντε Μπoβουάρ,"αυτοβιογραφία, φιλοσοφία, φεμινισμός, μυθιστόρημα, δοκίμιο, υπαρξισμός",6ο δημοτικό διαμέρισμα του Παρισιού,1908-01-09T00:00:00Z,1986-04-14T00:00:00Z,"Γαλλίδα συγγραφέας, φιλόσοφος, διανοούμενη, ακτιβίστρια και φεμινίστρια"
http://www.wikidata.org/entity/Q17892,Σαπφώ,ποίηση,Λέσβος,-0650-01-01T00:00:00Z,-0569-01-01T00:00:00Z,Αρχαία Ελληνίδα λυρική ποιήτρια από την Λέσβο
http://www.wikidata.org/entity/Q30875,Όσκαρ Ουάιλντ,"πεζός λόγος, δοκίμιο, αισθητική, δράμα",Δουβλίνο,1854-10-16T00:00:00Z,1900-11-30T00:00:00Z,Ιρλανδός λογοτέχνης και λόγιος
http://www.wikidata.org/entity/Q39246,Ρίτσαρντ Φίλλιπς Φάινμαν,"φυσική, σωματιδιακή φυσική, Κβαντική ηλεκτροδυναμική",Q62460,1918-05-11T00:00:00Z,1988-02-15T00:00:00Z,Αμερικανός φυσικός
http://www.wikidata.org/entity/Q43746,Μποναβεντούρα,"φιλοσοφία, εκπαίδευση, θεολογία, προσευχή, σχολαστικισμός, Χριστιανικός μυστικισμός",Q159498,1221-01-01T00:00:00Z,1274-07-22T00:00:00Z,"Φραγκισκανός, επίσκοπος, καρδινάλιος, θεολόγος, φιλόσοφος, καθολικός άγιος"
http://www.wikidata.org/entity/Q44461,Ρίτσαρντ Ντόκινς,"ζωολογία, βιολογία, ηθολογία, Εκκλησία, εξελικτική βιολογία, θρησκευτικότητα",Ναϊρόμπι,1941-03-26T00:00:00Z,,
http://www.wikidata.org/entity/Q44519,Σέλμα Λάγκερλεφ,ποίηση,Q10728500,1858-11-20T00:00:00Z,1940-03-16T00:00:00Z,
http://www.wikidata.org/entity/Q45997,Πολ Τζόνσον,"ιστορία, δημοσιογραφία, δημοσιογραφία γνώμης",Μάντσεστερ,1928-11-02T00:00:00Z,2023-01-12T00:00:00Z,
http://www.wikidata.org/entity/Q55220,Ντόνα Νέλσον,οργανική χημεία,Q1762858,1954-01-01T00:00:00Z,,
