politician,politicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q11362,Αβεμπάτσε,"αστρονομία, φυσική, βοτανική, ποίηση, μουσική, φιλοσοφία, πολιτική, ιατρική",Σαραγόσα,1080-01-01T00:00:00Z,1139-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q11362,Αβεμπάτσε,"αστρονομία, φυσική, βοτανική, ποίηση, μουσική, φιλοσοφία, πολιτική, ιατρική",Q11947752,1080-01-01T00:00:00Z,1139-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q12688,Ζαν Ζωρέ,φιλοσοφία,Καστρ,1859-09-03T00:00:00Z,1914-07-31T00:00:00Z,
http://www.wikidata.org/entity/Q12696,Q12696,φιλοσοφία,Μοριόκα,1862-09-01T00:00:00Z,1933-10-15T00:00:00Z,
http://www.wikidata.org/entity/Q12897,Πελέ,ποδόσφαιρο,Q1439211,1940-10-23T00:00:00Z,2022-12-29T00:00:00Z,Βραζιλιάνος ποδοσφαιριστής
http://www.wikidata.org/entity/Q12923,Q12923,"πολιτική, Εσωτερική παθολογία, ιατρική, νεφρολογία",3ο δημοτικό διαμέρισμα της Λιόν,1945-10-08T00:00:00Z,,
http://www.wikidata.org/entity/Q12927,Μαρίν Λε Πεν,πολιτική,Νεγί-συρ-Σεν,1968-08-05T00:00:00Z,,
http://www.wikidata.org/entity/Q12938,Q12938,"πολιτική, τροτσκισμός",15ο δημοτικό διαμέρισμα του Παρισιού,1941-07-10T00:00:00Z,2022-03-12T00:00:00Z,Γάλλος πολιτικός
http://www.wikidata.org/entity/Q12950,Αλαίν Ποέρ,"πολιτική, άνω βουλή",Αμπλόν-συρ-Σεν,1909-04-17T00:00:00Z,1996-12-09T00:00:00Z,
http://www.wikidata.org/entity/Q12960,Μισέλ Ζομπέρ,πολιτική,Μεκνές,1921-09-11T00:00:00Z,2002-05-26T00:00:00Z,Γάλλος πολιτικός (1921-2002)
http://www.wikidata.org/entity/Q12978,Γκι Φερχόφστατ,"πολιτική, φιλελεύθερη δημοκρατία",Ντεντερμόντε,1953-04-11T00:00:00Z,,
http://www.wikidata.org/entity/Q13021,Q13021,"φιλοσοφία, ανθρώπινα δικαιώματα, μη-βία",Q2019683,1895-09-11T00:00:00Z,1982-11-15T00:00:00Z,
http://www.wikidata.org/entity/Q13515,Φρεντερίκ Μπαστιά,"πολιτική, οικονομικά",Μπαγιόν,1801-06-30T00:00:00Z,1850-12-24T00:00:00Z,
http://www.wikidata.org/entity/Q14281,Τζιοβάνι Σκιαπαρέλι,"αστρονομία, μαθηματικά",Σαβιλιάνο,1835-03-14T00:00:00Z,1910-07-04T00:00:00Z,Ιταλός αστρονόμος
http://www.wikidata.org/entity/Q57153,Q57153,στράτευμα,Q855943,1861-09-11T00:00:00Z,1922-04-08T00:00:00Z,
http://www.wikidata.org/entity/Q57195,Φρειδερίκος Ε΄ Εκλέκτορας Παλατινάτος,πολιτική,Q33111265,1596-08-26T00:00:00Z,1632-11-29T00:00:00Z,
http://www.wikidata.org/entity/Q57204,Q57204,στράτευμα,Σλέσβιχ,1866-04-22T00:00:00Z,1936-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q57241,Χανς Μόντροου,πολιτική,Q647317,1928-01-27T00:00:00Z,2023-02-10T00:00:00Z,Γερμανός πολιτικός
http://www.wikidata.org/entity/Q57274,Γιουέρι Μουσέβενι,πολιτική,Ντουνγκάμο,1944-09-15T00:00:00Z,,
http://www.wikidata.org/entity/Q57279,Τραϊάν Μπασέσκου,πολιτική,Q593157,1951-11-04T00:00:00Z,,Ρουμάνος πολιτικός
http://www.wikidata.org/entity/Q57364,Q57364,πολιτική,Βόννη,1954-01-21T00:00:00Z,,
http://www.wikidata.org/entity/Q57379,Ντάλια Γκριμπαουσκάιτε,"πολιτική, οικονομικά",Βίλνιους,1956-03-01T00:00:00Z,,
http://www.wikidata.org/entity/Q57388,Τζόις Μπάντα,"ανθρώπινα δικαιώματα, Δικαιώματα των γυναικών, αναπαραγωγικά δικαιώματα",Ζόμπα,1950-04-12T00:00:00Z,,
http://www.wikidata.org/entity/Q57394,Νουρσουλτάν Ναζαρμπάγιεφ,πολιτική,Τσεμόλγκαν,1940-07-06T00:00:00Z,,
http://www.wikidata.org/entity/Q65587,Q65587,"Ποινικό Δίκαιο, πολιτική, δίκαιο, ανώτατο εκπαιδευτικό ίδρυμα, φιλοσοφία του δικαίου",Κωνσταντία,1918-10-20T00:00:00Z,2009-10-06T00:00:00Z,
http://www.wikidata.org/entity/Q65657,Q65657,"Ευρωπαϊκό Δίκαιο, πνευματική ιδιοκτησία, Διεθνές Δίκαιο",Λαρ,1904-06-05T00:00:00Z,1975-06-29T00:00:00Z,
http://www.wikidata.org/entity/Q306,Σεμπαστιάν Πινιέρα,"πολιτική, οικονομικά, επιχείρηση",Σαντιάγο,1949-12-01T00:00:00Z,2024-02-06T00:00:00Z,35ος και 37ος πρόεδρος της Χιλής
http://www.wikidata.org/entity/Q329,Νικολά Σαρκοζί,πολιτική,Παρίσι,1955-01-28T00:00:00Z,,23ος πρόεδρος της Γαλλικής Δημοκρατίας
http://www.wikidata.org/entity/Q352,Αδόλφος Χίτλερ,"πολιτική, ναζισμός, ναζιστική προπαγάνδα, Στρατιωτική δικτατορία",Αναμνηστική πλάκα για τον τόπο γέννησης του Χίτλερ,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,"Φύρερ και Καγκελάριος της Γερμανίας, Αρχηγός του Ναζιστικού Κόμματος"
