musician,musicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q435523,Q435523,όπερα,Νέα Υόρκη,1924-08-30T00:00:00Z,2013-08-08T00:00:00Z,
http://www.wikidata.org/entity/Q435523,Q435523,όπερα,Νέα Υόρκη,1922-08-30T00:00:00Z,2013-08-09T00:00:00Z,
http://www.wikidata.org/entity/Q435523,Q435523,όπερα,Νέα Υόρκη,1924-08-30T00:00:00Z,2013-08-09T00:00:00Z,
http://www.wikidata.org/entity/Q962357,Q962357,μουσική,Γουόντσουερθ,1969-03-29T00:00:00Z,,
http://www.wikidata.org/entity/Q963003,Q963003,"μουσική, μουσικολογία, διεύθυνση ορχήστρας",Q2453259,1921-09-03T00:00:00Z,1971-03-06T00:00:00Z,
http://www.wikidata.org/entity/Q964311,Πίνο Ντονάτζιο,"μουσική, κινηματογραφική μουσική",Βενετία,1941-11-24T00:00:00Z,,
http://www.wikidata.org/entity/Q968338,Q968338,"μουσική, κάντρι μουσική",Q2548248,1969-04-20T00:00:00Z,,
http://www.wikidata.org/entity/Q970008,Q970008,"μουσική, τζαζ",Στάτεν Άιλαντ,1931-02-06T00:00:00Z,2024-05-02T00:00:00Z,
http://www.wikidata.org/entity/Q971027,Q971027,μουσική,Q54149,1942-11-20T00:00:00Z,,
http://www.wikidata.org/entity/Q974281,Q974281,μουσική,Νιου Τζέρσεϊ,1961-04-12T00:00:00Z,,
http://www.wikidata.org/entity/Q974795,Guru,μουσική,Βοστώνη,1961-07-17T00:00:00Z,2010-04-19T00:00:00Z,Αμερικανός ράπερ
http://www.wikidata.org/entity/Q976022,Τζέιμι Ντόρναν,"μουσική, υποκριτική","Χόλυγουντ, Βορεια Ιρλανδία",1982-05-01T00:00:00Z,,"Βορειοϊρλανδός ηθοποιός, μουσικός και μοντέλο"
http://www.wikidata.org/entity/Q978631,Q978631,μουσική,Ζυρίχη,1973-02-22T00:00:00Z,,
