actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q26062,Ρόμπερτ Μπόλτ,δράμα,Q1022733,1924-08-15T00:00:00Z,1995-02-20T00:00:00Z,Βρετανός θεατρικός συγγραφέας και σεναριογράφος
http://www.wikidata.org/entity/Q26168,Άντον ΛαΒέι,φιλοσοφία,Σικάγο,1930-04-11T00:00:00Z,1997-10-29T00:00:00Z,"Ιδρυτής της Εκκλησίας του Σατανά, συγγραφέας της Σατανικής Βίβλου"
http://www.wikidata.org/entity/Q28152,Χαρκ Μπομ,"τηλεόραση, ταινία",Q1598,1939-05-18T00:00:00Z,,
http://www.wikidata.org/entity/Q28170,Μαξ Μπρουκς,"Κόμικς, τρόμος",Νέα Υόρκη,1972-05-22T00:00:00Z,,
http://www.wikidata.org/entity/Q28170,Μαξ Μπρουκς,"Κόμικς, τρόμος",Μανχάταν,1972-05-22T00:00:00Z,,
http://www.wikidata.org/entity/Q29328,Μπρι Λάρσον,"μουσική, σύνθεση, υποκριτική, παραγωγή ταινιών",Σακραμέντο,1989-10-01T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q30510,Q30510,"μουσική, άσμα",Μαδρίτη,1924-08-29T00:00:00Z,2018-05-28T00:00:00Z,
http://www.wikidata.org/entity/Q30896,Λάλεν,σύνθεση,Μπέρμπανκ,1987-06-03T00:00:00Z,,
http://www.wikidata.org/entity/Q31013,Πάτι ΛαΜπέλ,σύνθεση,Φιλαδέλφεια,1944-05-24T00:00:00Z,,
http://www.wikidata.org/entity/Q31164,Έλι Γκούλντινγκ,σύνθεση,Χέρεφορντ,1986-12-30T00:00:00Z,,Αγγλίδα τραγουδίστρια
http://www.wikidata.org/entity/Q31637,Τζαφάρ Παναχί,"γραφή, κινηματογράφος",Μεγιανέχ,1960-07-11T00:00:00Z,,Ιρανός σκηνοθέτης
http://www.wikidata.org/entity/Q31923,Q31923,"γραφή, παραγωγή ταινιών, υποκριτική",Q643430,1969-02-01T00:00:00Z,,
http://www.wikidata.org/entity/Q32661,Τζέιν Γκόλντμαν,"τηλεόραση, ταινία",Λονδίνο,1970-06-11T00:00:00Z,,
http://www.wikidata.org/entity/Q33605,Kesha,σύνθεση,Λος Άντζελες,1987-03-01T00:00:00Z,,"Αμερικανίδα τραγουδίστρια, στιχουργός, ράπερ και χορεύτρια"
http://www.wikidata.org/entity/Q34975,Μπράιαν Κοξ,υποκριτική,Νταντί,1946-06-01T00:00:00Z,,
http://www.wikidata.org/entity/Q37150,Λάνα Ντελ Ρέι,σύνθεση,Νέα Υόρκη,1985-06-21T00:00:00Z,,Αμερικανίδα τραγουδοποιός και ποιήτρια
http://www.wikidata.org/entity/Q37175,Τζόνι Ντεπ,"ροκ, παραγωγή ταινιών, υποκριτική",Όουενσμπόρο,1963-06-09T00:00:00Z,,"Αμερικανός ηθοποιός, παραγωγός και μουσικός."
http://www.wikidata.org/entity/Q37944,Μασιέλα Λούσα,ποίηση,Τίρανα,1985-10-23T00:00:00Z,,Αμερικανίδα ηθοποιός και συγγραφέας
