scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q122999,Γιόχαν Χάινριχ Λάμπερτ,μαθηματικά,Μυλούζη,1728-08-26T00:00:00Z,1777-09-25T00:00:00Z,"Ελβετός μαθηματικός, φυσικός, αστρονόμος και φιλόσοφος"
http://www.wikidata.org/entity/Q453557,Μπρούνο Ποντεκόρβο,"Έρευνα και Ανάπτυξη, πυρηνική φυσική, σωματιδιακή φυσική, φυσική",Πίζα,1913-08-22T00:00:00Z,1993-09-24T00:00:00Z,Ιταλός πυρηνικός φυσικός
http://www.wikidata.org/entity/Q463891,Βιρτζίνια Άπγκαρ,αναισθησιολογία,Ουέστφιλντ,1909-06-07T00:00:00Z,1974-08-07T00:00:00Z,Αμερικανίδα αναισθησιολόγος
http://www.wikidata.org/entity/Q1466807,Q1466807,πολιτική,Κέμνιτς,1942-02-11T00:00:00Z,,Γερμανός πολιτικός
http://www.wikidata.org/entity/Q1473903,Άλμπερτ Χάουαρντ,βοτανική,Q2469037,1873-12-08T00:00:00Z,1947-10-20T00:00:00Z,Βρετανός βοτανολόγος
http://www.wikidata.org/entity/Q431485,Ζοζέφ-Νικολά Ντελίλ,"ωκεανογραφία, γεωγραφία, φυσική, μαθηματικά, αστρονομία",Παρίσι,1688-04-04T00:00:00Z,1768-09-11T00:00:00Z,Γάλλος αστρονόμος
http://www.wikidata.org/entity/Q185832,Εμάνουελ Σβέντενμποργκ,Θεοσοφία,Q54006791,1688-01-29T00:00:00Z,1772-03-29T00:00:00Z,Σουηδός θεολόγος
http://www.wikidata.org/entity/Q201803,Μπέντζαμιν Ρόμπινς,"λογισμός, βλητική, Μαθηματική ανάλυση, μαθηματικά",Μπαθ,1707-01-01T00:00:00Z,1751-07-29T00:00:00Z,Βρετανός μηχανικός
http://www.wikidata.org/entity/Q201803,Μπέντζαμιν Ρόμπινς,"λογισμός, βλητική, Μαθηματική ανάλυση, μαθηματικά",Μπαθ,1707-01-01T00:00:00Z,1751-07-20T00:00:00Z,Βρετανός μηχανικός
http://www.wikidata.org/entity/Q157701,Γιάροσλαβ Χεϋρόφσκυ,"φυσικοχημεία, χημεία",Πράγα,1890-12-20T00:00:00Z,1967-03-27T00:00:00Z,"Τσέχος χημικός, βραβείο Νόμπελ 1959"
http://www.wikidata.org/entity/Q185007,Ρίτα Λέβι Μονταλτσίνι,νευροβιολογία,Τορίνο,1909-04-22T00:00:00Z,2012-12-30T00:00:00Z,Ιταλίδα νευρολόγος
http://www.wikidata.org/entity/Q161853,Ήρων,"γεωδαισία, μηχανική, οπτική, γεωμετρία, μαθηματικά",Αλεξάνδρεια,0010-01-01T00:00:00Z,0075-01-01T00:00:00Z,αρχαίος Έλληνας μαθηματικός και μηχανικός
http://www.wikidata.org/entity/Q182046,Λέων Μπαττίστα Αλμπέρτι,"κτήριο ιστορικής σημασίας, Εκκλησιαστικό Δίκαιο, κρυπτογράφηση, ουμανισμός, αρχιτεκτονική, γλυπτική, ζωγραφική, Αναγέννηση",Γένοβα,1404-02-23T00:00:00Z,1472-05-04T00:00:00Z,"Ιταλός καλλιτέχνης, αρχιτέκτονας, ποιητής και φιλόσοφος"
http://www.wikidata.org/entity/Q469371,Χένρι Χάιμλιχ,ιατρός,Γουίλμιγκτον,1920-02-03T00:00:00Z,2016-12-17T00:00:00Z,Αμερικανός χειρουργός
http://www.wikidata.org/entity/Q493956,Άντρεα Μία Γκεζ,"μαθηματικά, επιστήμη, αστρονομία",Νέα Υόρκη,1965-06-16T00:00:00Z,,Αμερικανίδα καθηγήτρια Αστρονομίας
http://www.wikidata.org/entity/Q203769,Ζαν-Ετιέν Μοντυκλά,"ιστορία της επιστήμης, Ιστορία των μαθηματικών, μαθηματικά",Λυών,1725-09-05T00:00:00Z,1799-12-18T00:00:00Z,"Γάλλος μαθηματικός του 18ου αιώνα, σημαντικός ιστορικός των μαθηματικών"
http://www.wikidata.org/entity/Q366827,Πολ-Εμίλ Φρανσουά Λεκόκ ντε Μπουαμποντράν,"3η ομάδα του περιοδικού πίνακα, αλκαλικές γαίες, μέταλλο, ανόργανη χημεία, χημεία, σαμάριο, γάλλιο, χημική ανάλυση, Φασματοσκοπία",Κονιάκ,1836-04-18T00:00:00Z,1912-05-28T00:00:00Z,Γάλλος χημικός
http://www.wikidata.org/entity/Q366827,Πολ-Εμίλ Φρανσουά Λεκόκ ντε Μπουαμποντράν,"χημική ανάλυση, Φασματοσκοπία, 3η ομάδα του περιοδικού πίνακα, μέταλλο, χημεία, γάλλιο, ανόργανη χημεία, αλκαλικές γαίες, σαμάριο",Κονιάκ,1838-04-18T00:00:00Z,1912-05-28T00:00:00Z,Γάλλος χημικός
http://www.wikidata.org/entity/Q370982,Πιότρ Καφάροφ,"Σινολογία, Ορθόδοξη Εκκλησία",Q4440749,1817-09-28T00:00:00Z,1878-12-18T00:00:00Z,Ρώσος σινολόγος
http://www.wikidata.org/entity/Q370982,Πιότρ Καφάροφ,"Σινολογία, Ορθόδοξη Εκκλησία",Q4440749,1817-09-28T00:00:00Z,1878-03-06T00:00:00Z,Ρώσος σινολόγος
http://www.wikidata.org/entity/Q1696378,Σεργκέι Νικολάιεβιτς Λάζαρεφ,"βιοενεργητική, Παραψυχολογία",Q135616,1952-09-04T00:00:00Z,,"ρώσος παραψυχολόγος, συγγραφέας, ψυχολόγος, φιλόσοφος, μέντιουμ, ζωγράφος"
http://www.wikidata.org/entity/Q207325,Κρίστιαν Γκόλντμπαχ,"Σειρά, γεωμετρία, θεωρία αριθμών, Τηλεσκόπιο, μαθηματικά",Κούνιχσμπεργκ,1690-03-18T00:00:00Z,1764-11-20T00:00:00Z,Γερμανός μαθηματικός
http://www.wikidata.org/entity/Q3026884,Q3026884,"εικαστικές τέχνες, εγκυκλοπαίδεια, χημεία, φυσική",Q1014208,1702-01-01T00:00:00Z,1765-02-08T00:00:00Z,Γάλλος συγγραφέας
